file,results
PMC13901.xml,0
PMC13902.xml,1
PMC13913.xml,0
PMC15015.xml,0
PMC15023.xml,1
PMC15024.xml,0
PMC15025.xml,1
PMC15027.xml,0
PMC15028.xml,0
PMC16139.xml,0
PMC16145.xml,1
PMC17599.xml,0
PMC17803.xml,0
PMC25775.xml,0
PMC28987.xml,1
PMC28992.xml,0
PMC28994.xml,0
PMC29004.xml,0
PMC29012.xml,1
PMC29014.xml,0
PMC29016.xml,0
PMC29017.xml,0
PMC29028.xml,1
PMC29030.xml,0
PMC29031.xml,0
PMC29044.xml,0
PMC29046.xml,0
PMC29048.xml,0
PMC29057.xml,0
PMC29058.xml,1
PMC29059.xml,0
PMC29061.xml,1
PMC29062.xml,0
PMC29063.xml,0
PMC29065.xml,0
PMC29066.xml,0
PMC29067.xml,1
PMC29068.xml,0
PMC29073.xml,0
PMC29077.xml,1
PMC29079.xml,0
PMC29080.xml,0
PMC29081.xml,0
PMC29083.xml,0
PMC29085.xml,0
PMC29086.xml,0
PMC29087.xml,1
PMC29088.xml,0
PMC29089.xml,0
PMC29092.xml,1
PMC29094.xml,0
PMC29096.xml,0
PMC29097.xml,1
PMC29098.xml,1
PMC29101.xml,0
PMC30704.xml,1
PMC30706.xml,0
PMC30707.xml,1
PMC30708.xml,1
PMC30711.xml,0
PMC30712.xml,0
PMC30714.xml,1
PMC30715.xml,0
PMC31330.xml,0
PMC31332.xml,0
PMC31333.xml,1
PMC31334.xml,0
PMC31335.xml,0
PMC31336.xml,0
PMC31337.xml,0
PMC31338.xml,0
PMC31339.xml,1
PMC31341.xml,0
PMC31342.xml,0
PMC31344.xml,0
PMC31347.xml,0
PMC31348.xml,0
PMC31349.xml,0
PMC31370.xml,0
PMC31411.xml,1
PMC31431.xml,0
PMC31433.xml,0
PMC31479.xml,1
PMC31481.xml,1
PMC31482.xml,0
PMC31580.xml,0
PMC31918.xml,1
PMC31925.xml,0
PMC32158.xml,1
PMC32163.xml,1
PMC32169.xml,0
PMC32170.xml,0
PMC32172.xml,0
PMC32173.xml,0
PMC32174.xml,1
PMC32180.xml,0
PMC32181.xml,0
PMC32182.xml,0
PMC32183.xml,0
PMC32187.xml,0
PMC32188.xml,0
PMC32189.xml,0
PMC32191.xml,1
PMC32193.xml,0
PMC32195.xml,0
PMC32196.xml,0
PMC32197.xml,1
PMC32199.xml,0
PMC32204.xml,0
PMC32206.xml,1
PMC32208.xml,0
PMC32247.xml,0
PMC32248.xml,0
PMC32250.xml,0
PMC32296.xml,0
PMC32297.xml,0
PMC32299.xml,0
PMC32302.xml,1
PMC32303.xml,0
PMC32304.xml,1
PMC32311.xml,0
PMC32312.xml,0
PMC32313.xml,1
PMC33341.xml,1
PMC33342.xml,0
PMC33343.xml,0
PMC33344.xml,0
PMC33392.xml,0
PMC33394.xml,0
PMC33396.xml,0
PMC33507.xml,0
PMC33518.xml,0
PMC33820.xml,1
PMC34102.xml,0
PMC34107.xml,0
PMC34110.xml,0
PMC34111.xml,1
PMC34113.xml,0
PMC34114.xml,0
PMC34116.xml,0
PMC34117.xml,0
PMC34514.xml,0
PMC34520.xml,0
PMC34549.xml,0
PMC34550.xml,0
PMC34551.xml,0
PMC34552.xml,0
PMC34605.xml,0
PMC34606.xml,0
PMC35267.xml,0
PMC35277.xml,1
PMC35278.xml,0
PMC35279.xml,0
PMC35280.xml,0
PMC35283.xml,0
PMC35285.xml,1
PMC35286.xml,0
PMC35352.xml,0
PMC35353.xml,1
PMC35354.xml,1
PMC35360.xml,0
PMC35361.xml,0
PMC37242.xml,0
PMC37243.xml,0
PMC37310.xml,0
PMC37313.xml,1
PMC37314.xml,0
PMC37351.xml,0
PMC37352.xml,0
PMC37353.xml,1
PMC37354.xml,0
PMC37355.xml,1
PMC37356.xml,1
PMC37391.xml,0
